order_number,status,matched_customer,order_status,delivery_date,total_amount,items,attempts,error,timestamp
CM0002153161,not_found,,,,,,195,,2025-09-29T18:11:23.434238
CM0002153162,not_found,,,,,,195,,2025-09-29T18:43:44.204813
CM0002153163,not_found,,,,,,195,,2025-09-29T18:43:46.297999
CM0002153164,not_found,,,,,,195,,2025-09-29T18:43:48.400381
CM0002153165,not_found,,,,,,195,,2025-09-29T18:43:50.497358
CM0002153166,not_found,,,,,,195,,2025-09-29T18:43:52.595743
CM0002153167,not_found,,,,,,195,,2025-09-29T18:43:54.693414
CM0002153168,not_found,,,,,,195,,2025-09-29T18:43:56.786996
CM0002153169,not_found,,,,,,195,,2025-09-29T18:43:58.889724
CM0002153170,not_found,,,,,,195,,2025-09-29T18:44:00.988049
CM0002153171,not_found,,,,,,195,,2025-09-29T18:44:03.087337
CM0002153172,not_found,,,,,,195,,2025-09-29T18:44:05.208552
CM0002153173,not_found,,,,,,195,,2025-09-29T18:44:07.378391
CM0002153174,not_found,,,,,,195,,2025-09-29T18:44:09.474011
CM0002153175,not_found,,,,,,195,,2025-09-29T18:44:11.577929
CM0002153176,not_found,,,,,,195,,2025-09-29T18:44:13.665427
CM0002153177,not_found,,,,,,195,,2025-09-29T18:44:15.761779
CM0002153178,not_found,,,,,,195,,2025-09-29T18:44:17.848460
CM0002153179,not_found,,,,,,195,,2025-09-29T18:44:19.942832
CM0002153180,not_found,,,,,,195,,2025-09-29T18:44:22.028775
CM0002153181,not_found,,,,,,195,,2025-09-29T18:44:24.128461
CM0002153182,not_found,,,,,,195,,2025-09-29T18:44:26.258834
CM0002153183,not_found,,,,,,195,,2025-09-29T18:44:28.358776
CM0002153184,not_found,,,,,,195,,2025-09-29T18:44:30.488947
CM0002153185,not_found,,,,,,195,,2025-09-29T18:44:32.699046
CM0002153186,not_found,,,,,,195,,2025-09-29T18:44:34.799853
CM0002153187,not_found,,,,,,195,,2025-09-29T18:44:36.899847
CM0002153188,not_found,,,,,,195,,2025-09-29T18:44:38.992149
CM0002153189,not_found,,,,,,195,,2025-09-29T18:44:41.100341
CM0002153190,not_found,,,,,,195,,2025-09-29T18:44:43.185945
CM0002153191,not_found,,,,,,195,,2025-09-29T18:44:45.282690
CM0002153192,not_found,,,,,,195,,2025-09-29T18:44:47.393033
CM0002153193,not_found,,,,,,195,,2025-09-29T18:44:49.495880
CM0002153194,not_found,,,,,,195,,2025-09-29T18:44:51.589539
CM0002153195,not_found,,,,,,195,,2025-09-29T18:44:53.678838
CM0002153196,not_found,,,,,,195,,2025-09-29T18:44:55.773347
CM0002153197,not_found,,,,,,195,,2025-09-29T18:44:57.856232
CM0002153198,not_found,,,,,,195,,2025-09-29T18:44:59.954215
CM0002153199,not_found,,,,,,195,,2025-09-29T18:45:02.049776
CM0002153200,not_found,,,,,,195,,2025-09-29T18:45:04.146346
CM0002153201,not_found,,,,,,195,,2025-09-29T18:45:06.237717
CM0002153202,not_found,,,,,,195,,2025-09-29T18:45:08.334611
CM0002153203,not_found,,,,,,195,,2025-09-29T18:45:10.418204
CM0002153204,not_found,,,,,,195,,2025-09-29T18:45:12.516705
CM0002153205,not_found,,,,,,195,,2025-09-29T18:45:14.606231
CM0002153206,not_found,,,,,,195,,2025-09-29T18:45:16.697312
CM0002153207,not_found,,,,,,195,,2025-09-29T18:45:18.788869
CM0002153208,not_found,,,,,,195,,2025-09-29T18:45:20.891155
CM0002153209,not_found,,,,,,195,,2025-09-29T18:45:22.987071
CM0002153210,not_found,,,,,,195,,2025-09-29T18:45:25.082513
CM0002153211,not_found,,,,,,195,,2025-09-29T18:45:27.178383
CM0002153212,not_found,,,,,,195,,2025-09-29T18:45:29.261871
CM0002153213,not_found,,,,,,195,,2025-09-29T18:45:31.353744
CM0002153214,not_found,,,,,,195,,2025-09-29T18:45:33.450517
CM0002153215,not_found,,,,,,195,,2025-09-29T18:45:35.547016
